"",gene_symbol,GSM2715271,GSM2715272,GSM2715273,GSM2715274,GSM2715275,GSM2715276,GSM2715277,GSM2715278,GSM2715279
ENSG00000008517,IL32,15.2348,7.6,142.4082,2.9682,0,1.9277,3.0964,16.2375,61.923
ENSG00000008710,PKD1,0.0132,0.9203,0,0,0,0,5.9003,1.2037,0.9598
ENSG00000008735,MAPK8IP2,0,0,0.9856,0,0,0,0,0,0.9726
ENSG00000008838,MED24,0,0.9522,2.0604,0,17.1042,0,26.6354,10.9247,9.7514
ENSG00000008853,RHOBTB2,3.1139,0,13.8129,0,0,0,1.9461,0,0
ENSG00000008869,HEATR5B,1.0421,0,0,0,0,1.0281,4.8565,0.9757,0
ENSG00000008952,SEC62,7.9746,0.9429,24.1465,2.0035,19.9571,0.962,84.5893,11.9529,17.906
ENSG00000008988,RPS20,1.9003,8.9796,7.1871,8.018,22.6945,8.2833,126.6273,65.9081,25.0074
ENSG00000009307,CSDE1,6.1138,11.3509,39.5591,7.0856,41.0062,4.0808,142.8977,67.6818,41.8468
ENSG00000009335,UBE3C,0,0,0,0,1.9973,0,6.8608,1.9546,0
ENSG00000009413,REV3L,0,4.8284,3.9359,1.9942,0.9664,0,30.5031,5.8716,4.8057
ENSG00000009694,TENM1,0,0,0,0,4.8281,3.0936,6.7783,0.9736,0
ENSG00000009709,PAX7,0,0,0,0,0,0,0,0,0
ENSG00000009724,MASP2,0.949,0,0,0,0.9825,0,0,1.028,0
ENSG00000009765,IYD,0,3.2353,5.9676,1.0843,0,0,0,0,0
ENSG00000009780,FAM76A,0.5116,1.0227,1.0082,1.0023,0.9942,0,3.9231,0,3.0161
ENSG00000009790,TRAF3IP3,0,0,0,0.9894,0,0,0.9788,0,0
ENSG00000009830,POMT2,1.9067,1.9757,0,1.0798,0,0,1.9481,2.0595,0
ENSG00000009844,VTA1,1.9786,1.9918,44.6852,2.9863,20.7153,4.8072,82.0132,41.6561,26.7179
ENSG00000009950,MLXIPL,0,0,0,0,0.9778,0,0,1.9641,0
ENSG00000009954,BAZ1B,5.2037,0,8.8716,0,1.9412,4.1052,9.7216,13.6788,6.7621
ENSG00000010017,RANBP9,2.0578,0,0,0,0,0,3.919,2.9457,1.9483
ENSG00000010030,ETV7,0,0,1.9963,0,0,0,0,0,0
ENSG00000010072,SPRTN,0,0,2.9904,1.013,2,0,8.8496,3.9512,0.9721
ENSG00000010165,METTL13,0,0,1.0204,0,1.9582,0,4.9708,2.9434,3.8991
ENSG00000010219,DYRK4,2.8808,0,2.0435,0,1.0246,1.0078,20.4066,4.1205,5.1859
ENSG00000010244,ZNF207,2.0929,0.9748,26.7663,1.007,12.8425,1.1925,93.8809,59.2713,34.6454
